idx,AirGap_pred,AirGap_gt,err
482,699.47656,650.0,49.476562
483,697.9035,650.0,47.903503
484,698.0072,650.0,48.007202
485,699.90247,652.0,47.902466
486,700.4023,651.0,49.402283
487,697.7897,651.0,46.789673
488,696.30493,650.0,46.30493
489,698.6623,650.0,48.662292
490,700.70483,650.0,50.704834
491,699.14795,652.0,47.14795
492,698.19165,651.0,47.19165
493,699.636,651.0,48.635986
494,699.9781,651.0,48.97809
495,698.50824,650.0,48.50824
496,697.7114,650.0,47.711426
497,699.454,650.0,49.45398
498,700.8656,651.0,49.8656
499,697.9324,651.0,46.932373
500,697.57623,651.0,46.576233
501,698.312,651.0,47.31201
502,699.25934,650.0,49.25934
503,698.2081,650.0,48.20813
504,697.11084,651.0,46.11084
505,698.3874,651.0,47.38739
506,699.6883,651.0,48.688293
507,697.56476,651.0,46.56476
508,695.7976,651.0,44.797607
509,698.4171,650.0,48.417114
510,700.0944,650.0,50.09442
511,698.2943,651.0,47.29431
512,697.69165,651.0,46.69165
513,697.79285,651.0,46.792847
514,698.813,651.0,47.81299
515,696.8534,650.0,46.853394
516,695.72107,650.0,45.72107
517,698.7941,650.0,48.79413
518,699.9309,651.0,48.93091
519,697.6926,651.0,46.692627
520,695.78326,651.0,44.783264
521,696.90283,650.0,46.902832
522,698.7735,650.0,48.7735
523,697.9699,650.0,47.96991
524,697.0898,651.0,46.089783
525,698.83844,651.0,47.83844
526,699.4201,651.0,48.420105
527,697.2664,651.0,46.26642
528,696.17346,651.0,45.173462
529,697.02234,650.0,47.02234
530,699.6573,650.0,49.657288
531,698.3757,652.0,46.37567
532,695.57025,651.0,44.57025
533,698.2064,651.0,47.20642
534,698.48047,650.0,48.48047
535,696.80676,650.0,46.806763
536,696.0925,650.0,46.09253
537,697.7863,650.0,47.786316
538,699.2988,652.0,47.29883
539,697.6024,651.0,46.602417
540,694.9717,651.0,43.97168
541,696.7569,651.0,45.756897
542,696.58746,650.0,46.587463
543,697.0425,651.0,46.04248
544,697.3856,651.0,46.38562
545,697.68396,652.0,45.68396
546,697.8618,651.0,46.861816
547,696.7411,651.0,45.74109
548,695.1206,650.0,45.120605
549,696.5564,650.0,46.556396
550,697.94727,650.0,47.947266
551,698.03046,651.0,47.030457
552,696.5813,651.0,45.5813
553,697.18085,651.0,46.180847
554,697.49347,651.0,46.49347
555,696.84863,650.0,46.848633
556,694.6924,650.0,44.692383
557,697.172,651.0,46.171997
558,697.7433,651.0,46.743286
559,697.9408,651.0,46.940796
560,696.8369,651.0,45.836914
561,696.88904,650.0,46.889038
562,697.74567,650.0,47.745667
563,697.58057,650.0,47.580566
564,695.0476,651.0,44.047607
565,697.79,651.0,46.789978
566,696.85944,651.0,45.859436
567,696.8884,650.0,46.888428
568,695.42206,651.0,44.42206
569,696.27075,650.0,46.270752
570,697.77014,650.0,47.77014
571,697.27966,651.0,46.279663
572,695.0044,651.0,44.004395
573,696.04065,651.0,45.04065
574,695.8302,650.0,45.8302
575,697.1368,649.0,48.13678
576,696.66785,650.0,46.667847
577,697.58203,650.0,47.58203
578,698.22925,651.0,47.229248
579,697.164,651.0,46.164
580,694.4694,651.0,43.46942
581,695.78546,651.0,44.78546
582,696.5525,650.0,46.55249
583,697.8032,650.0,47.803223
584,696.79663,651.0,45.79663
585,697.399,652.0,45.398987
586,697.50604,650.0,47.506042
587,696.0624,650.0,46.062378
588,694.3247,649.0,45.324707
589,695.95984,650.0,45.95984
590,697.59186,650.0,47.591858
591,698.95966,651.0,47.959656
592,698.6527,651.0,47.65271
593,697.406,651.0,46.406006
594,697.89185,650.0,47.891846
595,697.2675,650.0,47.267517
596,695.3683,650.0,45.368286
597,697.291,650.0,47.291016
598,698.0011,651.0,47.0011
599,697.58606,650.0,47.58606
600,696.2833,650.0,46.283325
601,696.49603,650.0,46.496033
602,697.50415,649.0,48.50415
603,697.3042,650.0,47.3042
604,694.98846,650.0,44.988464
605,696.9673,651.0,45.967285
606,697.81793,651.0,46.817932
607,696.7392,650.0,46.739197
608,696.73114,650.0,46.73114
609,696.6964,650.0,46.69641
610,698.66455,650.0,48.66455
611,698.25903,650.0,48.259033
612,695.8455,651.0,44.84552
613,697.1424,650.0,47.142395
614,697.88446,650.0,47.88446
